edgeid,source,target,date,value,type
370,90,559.0,2020/10/1,1.0,Directed
371,245,660.0,2020/10/1,1.0,Directed
372,559,281.0,2020/10/1,1.0,Directed
373,315,262.0,2020/10/1,1.0,Directed
374,315,281.0,2020/10/1,1.0,Directed
375,315,333.0,2020/10/1,1.0,Directed
376,330,646.0,2020/10/1,1.0,Directed
377,335,281.0,2020/10/1,1.0,Directed
378,381,405.0,2020/10/1,1.0,Directed
379,435,333.0,2020/10/1,1.0,Directed
380,463,464.0,2020/10/1,1.0,Directed
381,464,320.0,2020/10/1,1.0,Directed
382,464,181.0,2020/10/1,1.0,Directed
383,465,45.0,2020/10/1,1.0,Directed
384,542,543.0,2020/10/1,1.0,Directed
385,543,536.0,2020/10/1,1.0,Directed
386,659,262.0,2020/10/1,1.0,Directed
387,663,405.0,2020/10/1,1.0,Directed
388,668,31.0,2020/10/1,1.0,Directed
389,668,405.0,2020/10/1,1.0,Directed
390,679,582.0,2020/10/1,1.0,Directed
391,679,11.0,2020/10/1,1.0,Directed
392,315,704.0,2020/10/7,1.0,Directed
393,461,704.0,2020/10/7,1.0,Directed
394,497,704.0,2020/10/7,1.0,Directed
395,1131,704.0,2020/10/7,1.0,Directed
396,536,704.0,2020/10/7,1.0,Directed
397,536,497.0,2020/10/7,1.0,Directed
398,543,704.0,2020/10/7,1.0,Directed
399,543,497.0,2020/10/7,1.0,Directed
400,181,320.0,2020/10/10,1.0,Directed
401,663,181.0,2020/10/10,1.0,Directed
402,11,582.0,2020/10/16,1.0,Directed
403,330,1039.0,2020/10/18,1.0,Directed
404,461,1039.0,2020/10/18,1.0,Directed
405,558,1039.0,2020/10/18,1.0,Directed
406,1039,637.0,2020/10/18,1.0,Directed
407,646,1039.0,2020/10/18,1.0,Directed
408,668,1039.0,2020/10/18,1.0,Directed
409,337,219.0,2020/10/21,1.0,Directed
410,337,580.0,2020/10/21,1.0,Directed
411,181,705.0,2020/10/24,1.0,Directed
412,320,705.0,2020/10/24,1.0,Directed
413,461,705.0,2020/10/24,1.0,Directed
414,1131,705.0,2020/10/24,1.0,Directed
415,663,705.0,2020/10/24,1.0,Directed
416,282,706.0,2020/10/31,1.0,Directed
417,461,706.0,2020/10/31,1.0,Directed
418,1131,706.0,2020/10/31,1.0,Directed
419,660,706.0,2020/10/31,1.0,Directed
420,37,348.0,2020/11/1,1.0,Directed
421,709,649.0,2020/11/1,1.0,Directed
422,709,32.0,2020/11/1,1.0,Directed
423,709,592.0,2020/11/1,1.0,Directed
424,710,620.0,2020/11/1,1.0,Directed
425,712,126.0,2020/11/1,1.0,Directed
426,712,369.0,2020/11/1,1.0,Directed
